Number,URL,Title,Date,Paragraphs
153,https://www.tarimorman.gov.tr/Haber/153,"“1 Temmuzdan sonra ekmekte daha az tuz, daha fazla kepek olacak”",27.06.2013 ,"Bakan Eker, Makedonya Tarım, Ormancılık ve Su Ekonomisi Bakanı Ljupcho
Dimovski ile iki ülke arasında tarım alanında işbirliği mutabakat zaptını
imzalamasının ardından gazetecilerin sorularını yanıtladı.
Ekmeğin sadece buğday unu, maya, tuz ve su karışımıyla üretilmesini öngören
düzenlemenin 1 Temmuz'da yürürlüğe gireceğinin hatırlatılarak yeni düzenlemeye uyumun ne durumda olduğunun sorulması üzerine Bakan Eker,
bunu daha önceden ilan ettiklerini söyledi. Bunun uygulanmasıyla ilgili
safahatı, 1 Temmuz'dan sonra göreceklerini belirten Bakan Eker, şunları
kaydetti: ""Burada şunu önemsiyoruz. Türkiye bugüne kadar ekmek sanayinde
ekmeğe katkı maddesi olarak gerek koruyucu gerek kıvam artırıcı bu tür
unsurların, yaklaşık 17 çeşit katkı maddesi kullanımına izin veriliyordu. Biz
topluma daha sağlıklı ekmek yedirmek maksadıyla içinde sadece buğday unu, maya,
su ve çok az bir miktar tuz artık öngörüyoruz. Bir de fabrikalarda işlenirken
artık bir miktar C vitamini belki verilecek ama fırındaki una başka hiçbir şey
katılmayacak."" Bakan Eker, ekmekteki kepek oranını da artırdıklarını
belirterek, tuz miktarında da aynı şekilde bir azaltmanın öngörüldüğünü
bildirdi. Söz konusu düzenlemenin istisnasının yalnızca, özel ambalajlar içinde
bulunan ekmekler olduğunu dile getiren Eker, ""Çünkü onlar uzun süre
dayanıklılık gerektiren ekmekler, onlar özel bir mevzuata tabi ama
vatandaşımızın büyük ölçüde tükettiği ekmek artık, 1 Temmuz'dan itibaren katkı
içermeyecek, daha fazla kepek ve daha az tuz ihtiva edecek. Bu da daha
sağlıklı, daha kaliteli ve daha lezzetli bir ekmek olması demektir. Nihai
hedefimiz de Türkiye'de bütünüyle tam buğday ekmeğine geçiştir"" diye
konuştu.
""Türkiye, gıda-tarımsal
üretim açısından güvende""
Bakan Eker, gıda güvenliğine
ilişkin bir soru üzerine de tarım ve gıdayı hükümet olarak, stratejik bir
sektör olarak ele aldıklarını söyledi. Dünyada 21. yüzyılda 3 yeni mücadele
alanı olduğuna işaret eder Eker, bunların gıda, su ve enerji olduğunu, bu
alanların stratejik bir çalışma gerektirdiğini ifade etti. Eker, şöyle devam
etti: ""Biz de hükümet olarak dünyadaki bu gelişmeye paralel, Türkiye'nin
gıda güvenliğinin ne durumda olduğunu ki çok şükür net bir şekilde bir daha
söyleyeyim; Türkiye, gıda üretimi, tarımsal üretim açısından tamamen güvende.
Hiçbir şekilde bu alanla ilgili güvenlik endişesi bulunmayan bir ülke ve
Türkiye, gıda maddeleri ticareti yününden de net ihracatçıdır. Bu manada bizim
bir güvenlik endişemiz yok. Gelecekte gıda güvenliğinin sürdürülebilmesi, artan
nüfusun ihtiyaçları ve ekonominin gerekleri de dikkate alındığında gelecekte bu
pozisyonumuzun sürdürülebilmesi için perspektifimizi gerek küresel açlıkla
mücadele konusunda gerekse de Türkiye ile ilgili durumumuzu, onunla ilgili de
zaten politikalarımız var. Bizim söyleyeceğimiz, Türkiye güvende ve güvenlikli.
İki, öngörülebilir bir gelecek için de bu pozisyonumuzu sürdürme konusunda
herhangi bir problemimiz yok. Çok uzun vadeli olarak da bir tasavvurumuz
var.""
""Ramazan ayında et
fiyatlarında indirim var""
Ramazan ayında et fiyatlarının
nasıl olacağının sorulması üzerine Bakan Eker, Ramazan öncesinde her zaman
basında fiyatlarla ilgili spekülatif haberlerin çıktığını belirterek
""Böyle bir şeye kalkışılmasın"" diye Et ve Süt Kurumu olarak, Ramazan
ayında kendi ürünlerinin fiyatlarında artış değil indirim öngördüklerini
bildirdi. Bakan Eker, ""Az da olsa tüketici lehine bir indirim düşünüyoruz.
Kıymada yüzde 4'lük, kuşbaşında da yüzde 2,2'lik bir indirim öngörüyoruz. Bu
yeni satış fiyatımız Ramazan ayının başında uygulamaya girecek"" diye
konuştu. Son 3 yılda et ve et ürünlerinin fiyatlarında artış olmadığını dile
getiren Bakan Eker, ""Amacımız Ramazan ayında vatandaşımız daha ucuz et ve
et ürünü alsın. Özellikle dar gelirli vatandaşlarımıza yönelik bir hizmet
bu"" dedi.
Çiftçiye hibe desteği Bakan Eker,
tarımsal desteklerin sorulması üzerine de çiftçiye bu yıl 9 milyar lira nakdi,
karşılıksız hibe desteği verdiklerini bildirdi. Mayıs ayına kadar 4,5 milyar
lira, haziran ayı içinde de 2 milyar 300 milyon liralık ödeme yapıldığını ifade
eden Bakan Eker, ödemelerin dün başladığını, bugün ve yarın da devam edeceğini
kaydetti. Bunun 1 milyar 284 milyon lirasının fark ödemeleri olduğunu belirten
Bakan Eker, ""Hayvancılıkla ilgili var. Çay budama tazminatı var 95 milyon
lira. Fındık desteklemesi var 700 milyon lira. Süt primi var 153milyon lira.
Yani ana kalemlerini bunlar oluşturuyor. Bu paralar 3 gün içinde ödenecek.
Dolayısıyla 7 milyara yaklaşıyor, sadece 2013 içinde ödediğimiz para haziran
sonu itibariyle"" şeklinde konuştu.
Bakan Eker, bir gazetecinin,
""Kuru bakliyat fiyatlarında bir artış olacak mı?"" sorusu üzerine de
böyle bir artışı beklemediklerini bildirdi."
154,https://www.tarimorman.gov.tr/Haber/154,Agricultural Cooperation with Macedonia,27.06.2013 ,"​ Minister of Food, Agriculture and
Livestock Mehdi Eker and Macedonia Minister of Agriculture, Forestry and Water
Economy Ljupcho Dimovski signed a memorandum of understanding in the field of
agricultural cooperation between the two countries.
Minister Eker received Mr. Dimovski and
accompanying delegation at his office. Following the meeting, the two Ministers
signed a memorandum of understanding in the field of agricultural cooperation
between both countries. Minister Eker delivered a speech and expressed the
importance of Balkans for Turkey as a door to the West. Stating that Turkey
regards each country in the Balkans as a neighbor, Minister Eker added that goings-on
in the Balkans are of particular concern to Turkey due to historical, cultural
and humanitarian reasons. Minister Eker referred to the requirement for
accelerating current cooperation activities through creation of common interest
areas among countries in the region.  Minister
Eker said ""Turkey gives priority to Macedonia within this scope and has
argued for the territorial integrity and sovereignty of the Republic of Macedonia
since it gained its independence.
Minister Eker also declared “We desire
to enhance our relations with Macedonia in every field of agriculture and
agricultural trade, through the signature of technical cooperation agreement.   We will
provide assistance especially technical assistance to Macedonia. An
agricultural steering committee will be established with the signature of
agreement. Agricultural steering committee consists of senior officials from the
Ministries of both countries and meets regularly for concluding and
implementing the decisions.""
Ljupcho Dimovski expressed his thanks to the Minister Eker for his
contributions to the memorandum of understanding between the two countries.
Mentioning about the common history linking both countries together, Mr.
Dimovski stated that Turkey and Macedonia are close to each other. Pointing out
the progress made by Turkey especially in terms of economy, Mr. Dimovski added
that Turkey is a good example in terms of agricultural progress. Memorandum of
understanding, he added, will provide a better working environment in the
future.
Following the speeches, the two
ministers signed a memorandum of understanding in the field of agriculture."
155,https://www.tarimorman.gov.tr/Haber/155,Gıda Katkı Maddelerinin kullanımına sınırlama,30.06.2013 ,"​ Gıdalarda, gıda katkı maddelerinde, gıda enzim
ve aroma vericilerinde kullanılan gıda katkı maddelerinin kullanım koşulları ve
etiketleme kuralları yeniden belirlendi.
30 Haziran 2013 tarihli resmi gazetede
yayınlanarak yürürlüğe giren, yönetmeliğin 2 numaralı ekinde yer alan gıda
katkı maddeleri, olduğu haliyle piyasaya sunulacak ve belirlenen koşullar
altında gıdalarda kullanılacak. Yönetmelik hükümleri ile uyumlu olmayan bir
gıda katkı maddesi veya bu gıda katkı maddesini içeren bir gıda piyasaya arz
edilemeyecek. Domuz kaynaklı bir gıda katkı maddesi; gıdalarda, gıda katkı
maddelerinde, gıda enzimlerinde ve gıda aroma vericilerinde kullanılamayacak.
Bir gıda katkı maddesi; mevcut bilimsel kanıtlara dayalı olarak önerilen katkı
maddesinin kullanım miktarı tüketici sağlığı açısından güvenlik riski
doğurmuyorsa, ekonomik ve teknolojik açıdan uygulanabilir başka yöntemlerle
gerçekleştirilemeyecek. Makul teknolojik bir ihtiyaç bulunuyorsa, kullanımı
tüketiciyi yanıltmıyorsa ve çevresel faktörler de dahil olmak üzere, ilgili
diğer mevzuat kurallarını sağlıyorsa gıda katkı maddesi listelerinde yer
alabilecek. Gıdanın besin değerini düşüren bir gıda katkı maddesi ancak; soz
konusu katkı maddesini içeren gıda, günlük diyetin önemli bir öğesini
oluşturmuyorsa veya üzel beslenme ihtiyacı bulunan tüketici gruplarına yönelik
gıdaların üretimi için mutlaka gerekliyse listeye alınabilecek.
Bir gıda katkı maddesinin kullanım miktarı,
istenen etkiyi yerine getirebilecek gerekli olan en düşük miktar olarak
belirlenecek. Gıda katkı maddesinin kullanım miktarı belirlenirken; soz konusu
madde için oluşturulmuş kabul edilebilir günlük alım miktarları veya buna
eşdeğer bir değerlendirme ve bu katkı maddesinin bütün kaynaklardan alınacak
muhtemel günlük alım miktarları dikkate alınacak.
Ayrıca gıda katkı maddesinin özel tüketici
grupları tarafından tüketilen gıdalarda kullanılması durumunda, bu katkı
maddesinin bu tüketici grupları tarafından günlük alınması muhtemel olan
miktarları kullanım miktarının belirlenmesinde etkili olacak. Yönetmeliğin
ilgili ekinde özellikle belirtilmedikçe gıda katkı maddeleri, işlenmemiş
gıdalarda ve 2 numaralı ekte belirtilenler hariç olmak üzere, ""bebeklere
ve küçük çocuklara yönelik özel beslenme amaçlı gıdalara ilişkin mevzuat
kapsamındaki bebek formülleri, devam formülleri ve bebek ve küçük çocuk ek
gıdalarında"" kullanılmayacak.
Hayvansal Gıdalar İçin Özel Hijyen Kuralları
Yönetmeliğinde yer alan çiğ etlerin sağlık işaretlemeleri ile yumurta kabukları
dahil hayvansal gıdalara doğrudan uygulanan tanımlama işaretleri ve yumurta
kabuklarının süsleme amacıyla renklendirilmesinde, listedeki gıda
renklendiricileri kullanılabilecek. Son tüketiciye sunulmayacak gıda katkı
maddelerinin genel etiketleme kuralları Son tüketiciye sunulmayacak gıda katkı
maddelerinin tek başına, birbirleriyle, diğer gıda bileşenleriyle veya bunlara
ilave edilmiş diğer maddelerle karışım halinde satılması halinde, ambalaj veya
kaplarının üzerinde her bir gıda katkı maddesinin yönetmelikte geçen adı, E
kodu veya her bir katkı maddesinin adı veya E kodunu içeren bir satış
tarifnamesi yer alacak. Bunun yanında, ""gıdada kullanım içindir"" veya
""gıdada kullanımı sınırlıdır"" ifadesi veya gıda katkı maddesinin
kullanımının amaçlandığı gıdayı belirten daha özel bir ifade, gerekli olduğu
durumlarda özel depolama veya kullanım koşulları, parti işareti veya numarası,
kullanım talimatının eksikliğinde, gıda katkı maddesinin uygun bir şekilde
kullanımı mümkün olmayacaksa; gıda katkı maddesinin kullanım talimatı, net
miktar gibi bilgiler ambalaj veya kapların üzerinde bulunacak.
Yönetmelik kapsamında faaliyet gösteren gıda
işletmecileri yönetmelik hükümlerine, 1 Temmuz 2013 tarihinden önce piyasaya
arz edilen buğday unu, ilgili alt kategoride yer alan ekmekler, çiğ köfte ve
mezeler için 1 Ağustos 2013 tarihine kadar uyum sağlayacak. Yönetmelik
hükümleri ambalajsız olarak piyasaya sürülen ekmekler, ilgili alt kategoride
yer alan buğday unu, pide ve bazlama için 1 Temmuz 2013 tarihinden itibaren
geçerli olmak üzere yürürlüğe girecek.
Salça,
domates ve biber püreleri 1 Temmuz 2016 tarihine kadar piyasada bulunabilecek.
Bu arada yeni yönetmeliğin yürürlüğe girmesiyle ""29 Aralık 2011 tarihli ve
28157 üçüncü mükerrer sayılı Resmi Gazete'de yayımlanan Türk Gıda Kodeksi Gıda
Katkı Maddeleri Yönetmeliği"" yürürlükten kaldırıldı.​"
156,https://www.tarimorman.gov.tr/Haber/156,"Bakan Eker: Barışa inatla, inançla sarılmamız lazım",30.06.2013 ,"​ Gıda, Tarım ve Hayvancılık Bakanı Mehdi Eker,
Diyarbakır'ın Lice ilçesindeki karakol yapımı gerginliğine ilişkin,
""Barışa inatla, inançla sarılmamız lazım"" dedi.
Bakan
Eker, Diyarbakır'daki temasları kapsamında GAP Uluslararası Tarımsal Araştırma
ve Eğitim Merkezi arazisinde incelemelerde bulundu. Daha sonra İl Danışma
Meclis Toplantısı'na katılan Bakan Eker, toplantı öncesinde basın mensuplarının
sorularını yanıtladı.
Bakan Eker, Lice'deki olayla ilgili İçişleri
Bakanlığınca müfettiş görevlendirdiğini belirterek, jandarma ve mülkiye
müfettişlerinin gerekli soruşturmayı yaptığını söyledi. Soruşturma sonunda
herhangi bir hatanın olup olmadığının ortaya çıkacağını ifade eden Bakan Eker,
şûyle konuştu: ""Burada hepimizin dikkat etmesi gereken şu; Gezi Parkı
olayları dahil olmak üzere bizim başından beri söylediğimiz, Türkiye'de aslında
çözüm sürecine dönük, onu baltalamaya, engellemeye dönük maalesef bunlar bu
yönde kullanılıyor. Onun için herkesin çok dikkatli, çok sorumlu davranması
lazım. Doğrudan provokasyon. Biz öyle değerlendiriyoruz. Diyarbakır, yaklaşık
5-6 aydır gerçek manada güvenin ve huzurun tadını çıkarıyordu. Son olayla
maalesef bu bozulmaya çalışıldı. Çok dikkat etmek gerekiyor. Bizim çağrımız,
özellikle bütün vatandaşlarımızın bölgedeki tüm hemşehrilerimizin,
vatandaşlarımızın bu oyunu görmelerini istiyoruz. Bu oyuna karşı herkesin
uyanık olmasını, oyuna gelmemesini, tuzağa düşmemesini istiyoruz. Provokasyon
teşebbüsleri olur, provokatörler olur ama biz bütün bu provokasyonlara ve
provokatörlere karşı hepimiz, toplumun bütün kesimleri, siyasetle ilgilenen
herkes, partisi, düşüncesi ne olursa olsun, çünkü bu bölgemizin ve
Türkiye'mizin meselesi. Türkiye'nin en büyük barış projesi budur. Çözüm süreci
mutlaka başarıya ulaşması gerekiyor.""
“Bölgede tarihin
en büyük uyuşturucu operasyonu yapıldı”
Bakan Eker, olayın ikinci bir boyutunun da
olduğunu, bölgede yakın zamanlarda milyonlarca kök Hint kenevirinin ele
geçirilerek imha edildiğini belirterek, belkide tarihinin hiç bir döneminde bu
kadar büyük ölçekli uyuşturucu ile ilgili operasyon yapılmadığına dikkat çekti.
Bunun da dikkatten uzak tutulmaması gerektiğini, provokatif eylemlerin
bulunduğunu anlatan Bakan Eker, şöyle devam etti: ""Çözüm süreci hesabına,
kendi hesabına bunu aykırı gören güçler var. Bu kim olursa olsun, nereden
gelirse, elbetteki bir şekilde ortaya çıkacak ama bu teşebüsslerin sürece zarar
vermesine izin vermememiz lazım. Bizim çağrımız bu. İçişleri Bakanlığımız,
jandarmamız, polisimiz, emniyetimiz herkes, hepimiz hükümetin bütün ilgili
birimleri, kuruluşları bu süreci gerektirdiği kadar hassasiyetle ele alıp, yani
bir yerde bir ateş bir şekilde tutuştuğunda, kundaklama olduğunda onu söndürüp,
onu büyütmememiz gerekiyor. Dolayısıyla ilgili tüm herkesin sağduyu ile
meseleye reaksiyon vermesi gerekiyor. Hassasiyetle meseleyi ele almamız lazım.
Barışa inatla, inançla sarılmamız lazım. Çözüm sürecini kesinlikle
sahiplenmemiz lazım ve sürece zarar verecek herhangi bir tutum davranış ve
sözden özenle hepimizin kaçınması lazım diye düşünüyorum.""
Bir uzman çavuşun kaçırıldığı iddiası ile
ilgili soruya, yeni bir gelişme olmadığını belirten Bakan Eker, söz konusu
yerde yeni bir karakol inşasının da olmadığını kaydetti. Bakan Eker, bunun
üzerinden toplumu germenin başka bir mesaj vermenin doğru olmadığını ifade
ederek, ""Haksızlık. Bölgede çok sayıda kapatılan karakolda var. Bunların
bir kışımı da yenileniyor. Sonuçta hükümetin kontrolündeki bir birim. Devletin
güvenlik birimi. Bununla ilgili inşaat veya ne yapılması gerektiğinde yapılacak.
Buna karşı çıkış diyelim ki masum. Eyvallah, demokratik tepkisini göstersin ama
kalkıp o alanın içine molotoflarla, el yapımı bombalarla saldırıldığı zaman bu
tabi başka bir şey. Hassas olmak lazım. Olay yanlışsa bir şekilde ortaya çıkar.
Onlarla ilgili gereği yerine getirilir ama meseleyi ele alırken, konuşurken,
tartışırken dile getirirken, onun üzerinden konuştuğumuz zamanda o sözleri
itinayla seçmemiz lazım. Çözüm sürecine zarar vermesine asla izin vermememiz
lazım"" dedi.
“Türkiyenin
domates üretimiyle ilgili bir sorun yok”
Domates fiyatlarının yüksek seyrettiğine
ilişkin bir soruyu ise Bakan Eker, seradan tarlaya geçiş süreci olduğunu ifade
ederek, ""Kışın baharda seradan elde edilir. Yaz geldiğinde artık sera
dönemi sona erer, tarladan çıkar. Bazen onların arasında 3-5 günlük, bir haftalık
zaman olur. Ona ait bir durum. Yoksa Türkiye'nin domates artışı önceki yıllara
göre artmış durumda. 11 milyon ton civarında Türkiye'nin domates üretimi.
Dolayısıyla herhangi bir problem yok"" şeklinde yanıtladı"
157,https://www.tarimorman.gov.tr/Haber/157,87. Gazi Koşusu Divine Heart’ın,30.06.2013 ,"​ 87.
Gazi Koşusu’nu Atila Özkan’ın sahip olduğu ve jokeyliğini Yücel Bilik’in yaptığı
“Divine Heart” isimli safkan kazandı.
Gıda
Tarım ve Hayvancılık Bakanı Mehmet Mehdi Eker, Veliefendi Hipodromu'nda
gerçekleştirilen 87. Gazi Koşusu’nu izledi. Yarışta birinci olan ""Divine
Heart"" isimli safkanın sahibi Atila Özkan, şampiyonluk kupasını
Cumhurbaşkanlığı Genel Sekreteri Mustafa İsen'in elinden aldı. Mustafa İsen,
""Divine Heart""ın jokeyi Yücel Bilik ile antrenörü Enver Mutlu'ya da
plaketlerini takdim etti."
158,https://www.tarimorman.gov.tr/Haber/158,Pirinçte net ihracatçıyız,1.07.2013 ,"​ Gıda Tarım ve
Hayvancılık Bakanı Mehmet Mehdi Eker, Türkiye’nin pirinçte net ihracatçı konuma
geldiğini belirterek, 36 bin tonluk ithalata karşı 87 bin tonluk pirinç ihracatı
gerçekleştirildiğini söyledi.
Gıda
Tarım ve Hayvancılık Bakanı Mehmet Mehdi Eker, Pirinç Değirmencileri Derneği
Heyetini kabul etti. Dernek temsilcilerinden sektörün sezon öncesi sorunlarını
dinleyen Bakan Eker, Hükümet olarak çeltik üreticilerine gerekli desteği
sağladıklarını bildirdi.
Pirincin
temel tüketim ürünlerinden biri olduğunu belirten Bakan Eker, Türkiye’de 10 yıl
önce 500 bin ton pirinç tüketildiğini, bunun da 200 bin tonunun yurtiçi üretimden,
300 bin tonun da ithal edildiğini söyledi. Pirinç üretimini artırmak için Hükümet
olarak çok ciddi tedbirler aldıklarını dile getiren Bakan Eker, “Destekleme politikalarını değiştirdik. Verdiğimiz nakit desteklerle
üretim maliyetinin yüzde 13’ü karşılanıyor.  Uyguladığımız politikalarla birlikte, geçen yıl
880 bin ton çeltik üretildi. Bu da 530 bin ton pirince denk geliyor. İhtiyacımızın
tamamını karşılıyoruz üstüne de ihracat yapıyoruz. Türkiye geçen yıl 36 bin ton
pirinç ithal etti, 87 bin ton da ihracat gerçekleştirdi. Pirinçte net
ihracatçıyız” diye konuştu.
Bakan
Eker, dernek temsilcilerinin pirinçteki KDV oranının düşürülmesi talebini de
Maliye Bakanlığı nezdinde takip edeceğini söyledi."
159,https://www.tarimorman.gov.tr/Haber/159,Bakan Eker Türk Tarımının Geleceğini Bloomberg HT’ye Anlattı,1.07.2013 ,"​Bloomberg HT Televizyonunun 10 gün boyunca Türkiye tarım sektörünü tüm boyutlarıyla masaya yatıracağı ""Türk Tarımının Geleceği"" isimli haber dosyasının ilk canlı yayın konuğu Gıda Tarım ve Hayvancılık Bakanı Mehmet Mehdi Eker'di.
Bakan Eker, Bakanlık merkez binasından yapılan yayında Bloomberg HT Haber Koordinatörü Ali Çağatay'a Türk tarım sektörüyle ilgili önemli açıklamalarda bulundu."
160,https://www.tarimorman.gov.tr/Haber/160,Bakanlık Koordinasyon Toplantısı,3.07.2013 ,"​ Gıda
Tarım ve Hayvancılık Bakanlığı Müsteşarı Vedat Mirmahmutoğulları başkanlığında
bakanlık koordinasyon toplantısı yapıldı.
Toplantı
öncesi, Bakan Yardımcısı Kutbettin Arzu ve Müsteşar Vedat Mirmahmutoğulları ile
birim sorumluları sabah yürüyüşü yaptı. Yürüyüşün ardından bakanlık kampüsünde,
Müsteşar Mirmahmutoğulları başkanlığında kahvaltılı koordinasyon toplantısına
geçildi. Toplantıda bakanlığın gündeminde yer alan konular görüşüldü."
161,https://www.tarimorman.gov.tr/Haber/161,Bakan Eker: “Buğdayla koyun gerisi oyun”,3.07.2013 ,"​ Bakan Eker, ""Halk Elinde Koyun-Keçi Islahı Ülkesel
Projesi""ne ilişkin ""Bugüne kadar bizim bu iş için harcadığımız para
60 milyon liranın üzerinde. 4 bin 500 civarında yetiştirici bizim proje
ortağımız. Ama bizim hedefimiz bunu en kısa süre içerisinde 7 bine çıkarmak.
Anadolu coğrafyası küçükbaş hayvancılığa uygun. Buğdayla koyun gerisi oyun, sözü Anadolu’nun kültürünü yansıtır ""
dedi.
Tarımsal Araştırmalar ve Politikalar Genel Müdürlüğü (TAGEM)
koordinatörlüğünde 2005 yılında pilot olarak uygulamaya konulan, ilk 5 yıllık
dilimi 2006-2010 yıllarında tamamlanan ""Halk Elinde Koyun-Keçi Islahı
Ülkesel Projesi""nin 2011-2015 yıllarını kapsayan 2. dönemindeki
çalışmaların tanıtım etkinliği gerçekleştirildi. Etkinlikte konuşan Bakan Eker,
göreve geldiklerinden bu yana koyun ve keçi yetiştiriciliğine önem
verdiklerinin altını çizerek, o zaman kadar tarımın diğer sektörlere nazaran
üvey evlat gibi görüldüğünü söyledi. Bakan Eker, kendilerinin bu konuyu farklı
bir bakış açısı ile ele aldıklarını ifade ederek, ilk defa Cumhuriyet tarihinde
koyun ve keçi hayvancılığını destekleme kararı aldıklarını ve bunun yanı sıra
ıslah projelerini hayata geçirdiklerini bildirdi. Bugün bu politikanın olumlu
sonuçlarını gördüklerini kaydeden Bakan Eker, 10 sene önce 32 milyonun altında olan toplam koyun
keçi varlığının bugün 36 milyonu bulduğunu ifade etti. Bakan Eker, son 10 yıl
içerisinde alınan kararlar ve politikaların artık daha büyük bir hızla meyve
vereceğini vurgulayarak, 10 yıl içerisinde yüzde 12'lik artış olan koyun ve
keçi varlığının bu proje ve diğer projelerle çok daha iyi bir noktaya
geleceğini söyledi. Türkiye'de zaman zaman ıslah projeleri uygulandığını,
üniversiteler ve araştırma merkezlerinin bir takım melezlemeler yaparak yeni
ırklar yetiştirdiklerini ancak bu ırkların yaygınlaşmadığını anlatan Bakan Eker,
şunları kaydetti: ""Biz şunu yapmaya çalışıyoruz. Anadolu'da şu an
itibariyle 27-28 koyun ve keçi ırkı tespit ettik. Vatandaşın elinde bir ilde,
bir ilçede 6 bin dişi, 300 tane de o ırkın erkeğinden varsa biz orayı bir proje
alanı kabul ediyoruz. O proje alanında damızlık koyun keçi yetiştirici birliği
ile bakanlık, üniversiteler ve üreticiler birlikte hareket ediyor. 4 kuruluş
birlikte aynı anda bu faaliyeti sahipleniyor. Biz bunu destekliyoruz. Para
veriyoruz, masrafını karşılıyoruz. Projenin koyun keçi yetiştiriciliğine
sağladığı katkı dikkate alındığında şu ana kadar Türkiye genelinde proje
kapsamında koyun keçi sayısı 1 milyona, ırk sayısı 28'e, il sayısı ise 66'ya
ulaştı. Türkiye'nin 66 vilayetinde bu proje uygulanıyor. Bu çok önemli, ama
hedefimiz burada durmak değil bunu çok daha iyi bir konuma ulaştırmak. Proje
kapsamında hayvan başına 35 lira para veriyoruz. Bugüne kadar bizim bu iş için
harcadığımız para 60 milyon liranın üzerinde. 4 bin 500 civarında yetiştirici
bizim proje ortağımız. Ama bizim hedefimiz bunu en kısa süre içerisinde 7 bine
çıkarmak ve Türkiye'nin her yerinde bu projeyi yürütmek.""
""Çözüm süreci bu alana katkı sağlayacak"" Bakan
Eker, koyun sütü veriminde 10 yılda yüzde 60,4 oranında artış olduğunu
belirterek, 10 yıl önce bir koyunun 48 litre süt verirken, şu anda 77 litre süt
verir hale geldiğini bildirdi. Aynı dönemde bir keçinin 59 litre süt verirken
şu anda 105 litre süt verir hale geldiğini belirten Bakan Eker, keçi sütü
veriminde yüzde 78 oranında artış olduğunu kaydetti. Bakan Eker, TÜİK'in son
açıkladığı rakamlarla 35,8 milyon koyun ve keçi varlığını yeterli
görmediklerini belirterek, bu rakamın 50 milyona yaklaşması gerektiğini
vurguladı. Bu artışın mevcut meraların ıslahı ile gerçekleştirilebileceğini
dile getiren Bkan Eker, ""Çözüm süreci bu alana büyük katkı sağlayacak bir
proje. Neden? Türkiye'nin mera varlığının yüzde 41'inin bulunduğu doğu ve
güneydoğu illeri 15,8 milyon civarında koyun ve keçi varlığına sahip. Halbuki,
o alanların sadece ıslah edilmiş meralar olarak kullanıma sunulması ile
birlikte ilave 18 milyon koyunun orada beslenmesi mümkün. Sadece Doğu ve
Güneydoğu bölgesinde rahatlıkla 33 milyon koyun ve keçi varlığına ulaşmamız
mümkün"" diye konuştu.
Bakan Eker, bu sene çiftçilere 6,6 milyar lira ödeme
yaptıklarını belirterek, bunun hayvancılık ile ilgili kısmının 2 milyar lira
civarında olduğunu bildirdi. ""Buğday ile koyun, gerisi oyun"" diyen Bakan
Eker, bu sözün bilincinde olduklarını, politikalarını buna göre kuracaklarını
söyledi.
TAGEM Genel Müdürü Masum Burak da, etkinliğe 23 koyun ırkı
ve 5 keçi ırkına ait hayvanları getirdiklerini ve tanıttıklarını bildirdi. Bu
projenin Bakan Eker'in talimatı ile 80 bin koyunla başladığını, sayının 1
milyona çıktığını dile getirerek, yeterli ırk bulunabildiği takdirde 2 milyona
ulaştırmayı hedeflediklerini söyledi.
Türkiye Damızlık Koyun Keçi Yetiştiricileri Merkez Birliği
Başkanı Veysel Ayhan da Türkiye'nin koyun ve keçi varlığı ile AB ülkeleri
içinde İngiltere'den sonra ikinci sırada yer aldığını belirtti. Türkiye'nin
hayvancılıkta AB ülkeleri ile rekabet edebileceği sektörün küçükbaş hayvancılık
sektörü olacağını ifade eden Ayhan, Cumhuriyet tarihinde ilk kez bakanlık,
sivil toplum kuruluşları ve üreticiler bir araya gelerek ıslah projesinin
yürütüldüğüne dikkati çekti. Ayhan, Bakan Eker'e, üzerinde resminin işlendiği
bir halı hediye etti. Bunun yanı sıra Bakan Eker'e kaval, çoban çantası,
kepenek ve kuzu hediye edildi. Kepeneği giyen Bakan Eker kuzuyu öperek ve
severek objektiflere poz verdi. Bakan Eker, konuşmaların ardından yetiştirici
birliklerinin açtıkları stantları ziyaret etti. Proje kapsamında geliştirilen
kuzuları seven Bakan Eker, ıslah edilen hayvanlarla ilgili yetiştiricilerden
projenin çıktılarına ilişkin bilgiler aldı.
UNESCO’nun yaşayan insan hazinesi seçtiği Tokatlı kaval
imalatçısı Yaşar Güç’ün kaval çalıp, halk oyunları gösterisinin yapıldığı
etkinliğe TBMM Tarım Komisyonu Başkanı, Milletvekilleri, bürokratlar akademisyen
çok sayıda yetiştirici ve bakanlık çalışanları katıldı."
162,https://www.tarimorman.gov.tr/Haber/162,"Filistin Tarım Bakanından, Bakan Eker’e ziyaret",4.07.2013 ,"​ Filistin Tarım Bakanı Waleed Mahmoud Muhammed Assaf ve beraberindeki heyet, Gıda Tarım ve Hayvancılık Bakanı Mehmet Mehdi Eker’in davetlisi olarak Türkiye’ye
resmi bir ziyaret gerçekleştirdi. Ziyaret sırasında, Bakan Eker, Başbakan Tayyip Erdoğan’ın gerçekleştirmeyi
planladığı Gazze seyahati öncesinde Filistin Bakanı’nı Türkiye’de ağırlamaktan
duyduğu memnuniyeti ifade etti.
İki bakan çalışma yemeğinde bir
araya gelerek tarım alanında işbirliğini kapsayan konuları görüştüler. Görüşme
sonrasında iki taraf da ilişkilerin daha da güçlendirilmesi için istekli
olduklarını dile getirdi."
