YIL,BÖLGE KODU,BÖLGE ADI,Adrese Dayalý Nüfus Kayýt Sistemine göre yaþ grubu ve cinsiyete göre nüfus : Toplam,Tarýmsal üretim deðeri  : Bitkisel üretim deðeri  (1000 TL),Ortalama hanehalký büyüklüðü : Ortalama hanehalký büyüklüðü,Tahýllar ve diðer bitkisel ürünlerin hasat edilen alaný (hektar) : Toplam,Hanehalký tiplerine göre hanehalký sayýsý : Toplam,Niteliklerine göre örtü altý tarým alanlarý (dekar) : Toplam,Örtü altý sebze ve meyve üretimi (ton) : Toplam,Tahýllar ve diðer bitkisel ürünlerin üretim miktarý (ton) : Toplam,Adrese Dayalý Nüfus Kayýt Sistemine göre yaþ baðýmlýlýk oraný  : 15-64 yaþ grubu nüfus,Alan kullanýmý  : Ýþlenen tarým alaný / Ekilen (hektar),Ýçme ve kullanma suyu þebekesi ve arýtma tesisleri : Toplam çekilen su miktarý (1000 m3/yýl),Alan kullanýmý  : Ýþlenen tarým alaný / Nadas (hektar),Belediye atýk istatistikleri : Toplanan atýk miktarý (1000 ton),Kullaným yerlerine göre elektrik tüketimi : Tarýmsal faaliyetler (MWh),Alan kullanýmý  : Ýþlenen tarým alaný / Sebze (hektar),Ýçme ve kullanma suyu þebekesi ve arýtma tesisleri : Toplam arýtýlan içme ve kullanma suyu miktarý (1000 m3/yýl),Alan kullanýmý  : Toplam uzun ömürlü bitkilerin alaný (hektar)
2008,TR,Türkiye,71517100,66010114,4,15520257,,542158,5063265,74382684,47835090,16460257,4546574,4259190,24361,5806475,835795,2120561,2949981
2010,TR,Türkiye,73722988,80038126,"3,8",16239191,,563805,5750466,90579900,49516670,16333002,4784734,4249026,25277,5585508,801598,2520085,3010580
2012,TR,Türkiye,75627384,87946988,"3,7",15888286,,617760,6170827,92921409,51088202,15463376,4936342,4286137,25845,5849875,826736,2729430,3200961
2014,TR,Türkiye,77695904,98123089,"3,6",16057638,21091075,643442,6481820,99443102,52640512,15781817,5237407,4107618,28011,5161403,803576,2995001,3242811
2016,TR,Türkiye,79814871,119237661,"3,5",15893335,22206776,691724,7165241,110785755,54237586,15574639,5838561,3998296,31584,6805436,804142,3350389,3329217
2018,TR,Türkiye,82003882,159142178,"3,4",15782361,23221218,772091,8071026,115048445,55633349,15421497,6193158,3512773,32209,9278429,783632,3574058,3456910
2008,TR100,Ýstanbul,12697164,258569,"3,8",68391,,1462,8474,313740,8935641,68391,666000,-,5215,94765,3831,612293,2483
2010,TR100,Ýstanbul,13255685,261585,"3,8",63991,,1058,5740,242510,9355141,63991,931885,108,5731,72873,3867,812614,2807
2012,TR100,Ýstanbul,13854740,315623,"3,6",64766,,1422,5292,317338,9837334,64651,930825,498,5671,27144,3711,930825,2713
2014,TR100,Ýstanbul,14377018,348883,"3,5",65711,3973852,1553,5783,290051,10243634,65599,951497,171,6065,12821,3410,951497,2663
2016,TR100,Ýstanbul,14804116,369403,"3,5",67199,4150576,1591,4516,292705,10562075,67084,1018601,162,7035,45770,2965,983307,2714
2018,TR100,Ýstanbul,15067724,483449,"3,4",66563,4306967,1600,4820,300315,10729219,66462,1040965,156,7043,63053,2937,1040965,2727
2008,TR211,Tekirdað,770772,935080,"3,5",349672,,104,994,1433099,549303,349672,43382,-,372,13465,7193,2110,9247
2010,TR211,Tekirdað,798109,819878,"3,5",344676,,188,3527,1310936,566220,344677,43472,77,376,10091,5834,4619,9853
2012,TR211,Tekirdað,852321,1056660,"3,3",311898,,210,4252,1515914,607958,307972,43025,70,395,17475,5312,7348,9575
2014,TR211,Tekirdað,906732,1319714,"3,3",337753,268862,259,4314,1663033,644840,334565,46020,119,397,10135,5115,28670,9860
2016,TR211,Tekirdað,972875,1620585,"3,2",389398,291958,297,7699,1823541,687733,385271,62635,36,486,10436,4450,5452,10889
2018,TR211,Tekirdað,1029927,1953450,"3,2",385188,312645,319,7865,1589742,721245,382220,70058,-,500,18718,3406,8623,11498
2008,TR212,Edirne,394644,1161513,"3,2",335935,,80,804,1642778,283798,335938,16583,-,193,97976,11105,9145,3338
2010,TR212,Edirne,390428,1327241,"3,1",348689,,85,907,1797556,279588,348768,18269,111,194,97340,9328,6859,3447
2012,TR212,Edirne,399708,1199099,3,294541,,76,902,1614394,289003,288849,21907,155,224,114461,8507,13524,4574
2014,TR212,Edirne,400280,1659591,"2,9",305317,128719,91,940,1742789,288091,300319,20525,654,199,82425,6820,14836,5766
2016,TR212,Edirne,401701,1587660,"2,9",315278,133086,96,950,1685637,287261,307425,23247,645,179,99601,5754,12369,5891
2018,TR212,Edirne,411528,2175835,"2,8",309589,136980,89,735,1665229,292069,303128,24476,634,155,114347,5730,19180,4392
2008,TR213,Kýrklareli,336942,524585,"3,2",227999,,47,520,1024798,240389,228147,24410,1037,137,8273,4054,6349,1415
2010,TR213,Kýrklareli,332791,500409,"3,1",225707,,43,623,933720,236973,225707,17833,1127,144,10277,3753,5728,1771
2012,TR213,Kýrklareli,341218,604464,3,182372,,85,760,1050152,245731,174797,18416,10869,78,9267,3634,6798,2119
2014,TR213,Kýrklareli,343723,803756,3,225175,110222,62,253,1288133,247698,220172,14817,2258,130,7769,2585,5387,2275
2016,TR213,Kýrklareli,351684,883275,"2,9",235181,115109,72,303,1233498,252940,230611,20935,1748,129,18013,2251,6409,2355
2018,TR213,Kýrklareli,360860,1159081,"2,8",235197,119690,87,359,1299709,257421,231460,20997,927,127,9978,1863,5512,2761
2008,TR221,Balýkesir,1130276,1737117,"3,1",296556,,528,5675,1784370,782056,296556,62371,3391,415,213060,34661,30189,90636
2010,TR221,Balýkesir,1152323,1958786,3,271226,,519,6485,1690836,799932,271242,67447,15340,445,182780,31183,32238,91294
2012,TR221,Balýkesir,1160731,2119782,"2,9",313559,,614,7466,2095664,807077,303134,76703,14730,457,60579,31006,38345,93230
2014,TR221,Balýkesir,1189057,1973289,"2,8",289836,410437,645,7169,2201944,820895,277629,86966,18624,536,58403,29369,46482,95088
2016,TR221,Balýkesir,1196176,2530640,"2,8",284674,418435,692,8489,3275698,823658,270867,102922,20402,665,67865,27688,46201,94119
2018,TR221,Balýkesir,1226575,2727906,"2,7",269922,433775,672,8787,3439313,837517,254259,138060,18898,665,102239,25348,48622,95078
2008,TR222,Çanakkale,474791,1204712,"2,9",180826,,240,1510,969475,335242,180839,25797,18332,152,26642,19510,9750,45282
2010,TR222,Çanakkale,490397,1739453,"2,9",189399,,278,1445,1477336,348855,189399,27084,20492,155,31358,20170,10361,49480
2012,TR222,Çanakkale,493691,1907565,"2,8",192606,,309,2087,1964075,349739,185688,26268,16534,166,35582,20987,13536,51676
2014,TR222,Çanakkale,511790,1873084,"2,7",195702,178131,334,2524,2220858,361140,188731,23459,21917,175,25272,20529,14462,53196
2016,TR222,Çanakkale,519793,2201088,"2,7",202648,184030,368,2808,2317739,364280,196015,23853,19035,220,41296,20586,13929,55112
2018,TR222,Çanakkale,540662,3326007,"2,7",205968,192347,556,4667,2650747,376234,199074,26832,14992,262,38500,20431,15957,57056
2008,TR310,Ýzmir,3795978,2769679,"3,4",160784,,8037,165485,2436522,2712066,160804,217382,4373,1351,537962,41863,66470,139132
2010,TR310,Ýzmir,3948848,3375542,"3,3",162912,,8522,167099,3201720,2830431,162919,254621,4409,1686,612248,41149,194860,140623
2012,TR310,Ýzmir,4005459,4066898,"3,2",166609,,13641,181659,3430030,2861609,135181,300048,7080,1613,420287,43094,146400,142542
2014,TR310,Ýzmir,4113072,4238673,"3,1",173146,1295112,14994,202532,3937355,2926861,137051,269689,3565,1660,387134,40845,201707,146925
2016,TR310,Ýzmir,4223545,4817397,3,169743,1349952,15529,179188,4082608,2990943,134938,267435,3042,2026,429614,39309,229911,148516
2018,TR310,Ýzmir,4320519,4952432,3,170349,1401292,15726,165923,4346894,3036141,133505,324557,3127,2132,429958,37956,244872,148083
2008,TR321,Aydýn,965500,1536648,"3,3",156517,,6788,28123,1493257,662754,157169,58514,1962,374,94788,10839,5960,209258
2010,TR321,Aydýn,989862,1783161,"3,2",150055,,9963,43185,1677442,681665,150583,50084,2552,343,104394,11589,6275,210779
2012,TR321,Aydýn,1006541,2005986,"3,1",150891,,12033,51518,2335724,694123,132967,57943,3557,346,84978,11129,12847,215521
