Year,Location_Name,Treated,Treated_Label,production,land_use,municipal_burden,external_input,market,FSOI
2008,Türkiye,3,Türkiye,0.2930736891965514,0.3189130974686568,0.5818223575626393,0.8016932771362896,0.39841780432416574,0.47878404513766054
2010,Türkiye,3,Türkiye,0.30882020897250717,0.31035120798604765,0.6096314160940525,0.7966668379420052,0.45562788988823616,0.49621951217656973
2012,Türkiye,3,Türkiye,0.30705575357906767,0.30701952734480714,0.6278153280458967,0.7960904528915191,0.44474316231824434,0.496544844835907
2014,Türkiye,3,Türkiye,0.3082115472827743,0.3030591991457982,0.6161863981569778,0.809365271467357,0.37199242515141734,0.48176296824086495
2016,Türkiye,3,Türkiye,0.31721461299678655,0.2994918452306369,0.5728121680664212,0.7682527335348591,0.3392961926342417,0.45941351049258916
2018,Türkiye,3,Türkiye,0.3195894679928946,0.2979278868634282,0.5869025636189071,0.7826075979249003,0.32474011177306084,0.4623535256346383
2020,Türkiye,3,Türkiye,0.3298708314399856,0.2967015357145798,0.6056941203724802,0.7357654211991782,0.3041596820604839,0.4544383181573415
2008,İstanbul,2,Old-metropolitan,0.010848679298987255,0.20216192614647563,0.5927697381647516,0.9893625948116183,0.0025489096189514338,0.3595383696081569
2010,İstanbul,2,Old-metropolitan,0.007524394283772423,0.2019094073862183,0.4806456128785845,0.9922156670146842,0.000370733949801048,0.3365331631026121
2012,İstanbul,2,Old-metropolitan,0.009083918370989756,0.20167910428591193,0.5639434429588166,0.9962666091624461,0.0,0.35419461495563287
2014,İstanbul,2,Old-metropolitan,0.0075949780654345125,0.20151049785827255,0.5761630702001301,0.9957066147757616,0.0,0.35619503217991977
2016,İstanbul,2,Old-metropolitan,0.007317846248564163,0.2013823838955739,0.5077692915579242,0.9855836019072508,0.0,0.3404106247218626
2018,İstanbul,2,Old-metropolitan,0.007140558561164853,0.20127788237378627,0.5377907241856438,0.9897284364542454,0.0,0.347187520314968
2020,İstanbul,2,Old-metropolitan,0.006777861952019198,0.20119540248360762,0.5766092074372595,0.994256175933486,0.0,0.3557677295612745
2008,Tekirdağ,1,New-metropolitan (2012),0.27370191633947216,0.3340015616118502,0.5568967523139463,0.7045437836418718,0.42105547344605965,0.45803989747064
2010,Tekirdağ,1,New-metropolitan (2012),0.2623156240298691,0.3237010649468296,0.5775567963681396,0.6923117396942171,0.4331963547443689,0.45781631595668487
2012,Tekirdağ,1,New-metropolitan (2012),0.2650043961254431,0.3007794730157939,0.6461643922844162,0.6989996486873652,0.35717189429199897,0.45362396088100343
2014,Tekirdağ,1,New-metropolitan (2012),0.2683731696100992,0.3001606055962035,0.670557806350969,0.7515180232649419,0.3349971623157009,0.46512135342758293
2016,Tekirdağ,1,New-metropolitan (2012),0.270029316070026,0.29937000742849074,0.572470469815126,0.6877412919215768,0.2598008423179688,0.4178823855106376
2018,Tekirdağ,1,New-metropolitan (2012),0.24744465116499936,0.29099052299903566,0.5708879103209938,0.7950469915971471,0.23546431889622776,0.42796687899568064
2020,Tekirdağ,1,New-metropolitan (2012),0.2525566262815756,0.28282666660401,0.6331887130664358,0.7366645924125956,0.21508148458841223,0.4240636165906058
2008,Edirne,0,Non-metropolitan,0.3622126676588342,0.4407640001689975,0.6796320366711988,0.397938670988237,0.6304831881891932,0.5022061127352921
2010,Edirne,0,Non-metropolitan,0.3711718217319845,0.42797615188910265,0.6723563000265427,0.35203483425997,0.6624679381977747,0.4972014092210749
2012,Edirne,0,Non-metropolitan,0.35032795612280976,0.39231589757608687,0.603056316936204,0.33884339298725746,0.5494127851098601,0.4467912697464437
2014,Edirne,0,Non-metropolitan,0.35552944389347924,0.380051640749154,0.6972203912200166,0.41230419549939606,0.539172691867866,0.47685567264598233
2016,Edirne,0,Non-metropolitan,0.3508952685186607,0.37553936732944493,0.7163761900134005,0.30745702812903375,0.45552539053384916,0.4411586489048777
2018,Edirne,0,Non-metropolitan,0.3413995811422057,0.36307333579060697,0.7902195040409306,0.44316590223113,0.4195235675057997,0.4714763781421346
2020,Edirne,0,Non-metropolitan,0.3430973471885777,0.353823290090682,0.7956172897990785,0.28877727854956536,0.42709778500497103,0.4416825981265749
2008,Kırklareli,0,Non-metropolitan,0.32248860913563987,0.36326911647571997,0.6291027000927886,0.7099200533561224,0.5160093304878726,0.5081579619096287
2010,Kırklareli,0,Non-metropolitan,0.3089282156595558,0.3572606000042314,0.703799617906317,0.6733568412065518,0.5653487566273291,0.521738806280797
2012,Kırklareli,0,Non-metropolitan,0.31649461246867217,0.31845139178067694,0.9084176649632842,0.6560324053083968,0.5528584443095728,0.5504509037661206
2014,Kırklareli,0,Non-metropolitan,0.33963166526497846,0.3374535358740792,0.8173390019588196,0.679333059934657,0.5210486690783945,0.5389611864221857
2016,Kırklareli,0,Non-metropolitan,0.3272455786458121,0.3331059910413402,0.7791824872421764,0.5784247654013353,0.39930034364007966,0.48345183319414875
2018,Kırklareli,0,Non-metropolitan,0.32626679795817276,0.3248108286417866,0.8161238234710612,0.698269255596744,0.38825078790826306,0.5107442987152055
2020,Kırklareli,0,Non-metropolitan,0.3378572703187877,0.32138967541486485,0.7955186393734127,0.5980070461374175,0.4039339125866989,0.4913413087662363
2008,Balıkesir,1,New-metropolitan (2012),0.24389856087953107,0.38104366953838886,0.7587086990264381,0.7330362011659022,0.6656053682287497,0.556458499767802
2010,Balıkesir,1,New-metropolitan (2012),0.23240247302037165,0.3564912133849204,0.7464271618050299,0.7426427128414255,0.7059715930969498,0.5567870308297393
2012,Balıkesir,1,New-metropolitan (2012),0.25244994329698783,0.35666764498961595,0.7300186095756697,0.8368280369758456,0.5008671677790071,0.5353662805234253
2014,Balıkesir,1,New-metropolitan (2012),0.2508374730747371,0.34042691652874213,0.6760989165444642,0.8506352413060949,0.4699017085141792,0.5175800511936435
2016,Balıkesir,1,New-metropolitan (2012),0.29763313445103934,0.334332434940596,0.5399589255838719,0.8128615934451917,0.39021046502144824,0.47499931068842943
2018,Balıkesir,1,New-metropolitan (2012),0.29595255598849607,0.32016054829478674,0.4896009625029105,0.8256765012082303,0.3452926414036701,0.45533664187961875
2020,Balıkesir,1,New-metropolitan (2012),0.30144135113211235,0.3226007857112062,0.5901070854469364,0.7482914461233761,0.33562465777752487,0.4596130652382312
2008,Çanakkale,0,Non-metropolitan,0.2639796447371691,0.41412480328218504,0.8407377207102734,0.7923306662387182,0.5694804380816973,0.5761306546100086
2010,Çanakkale,0,Non-metropolitan,0.3102520173774724,0.41684795595330015,0.8407669420576993,0.7722955650304826,0.6865157998080589,0.6053356560454027
2012,Çanakkale,0,Non-metropolitan,0.341226877221781,0.4169783861961248,0.8485754844087343,0.7721007142882428,0.6071521932359119,0.597206731070159
2014,Çanakkale,0,Non-metropolitan,0.34797008372907395,0.39924896084081063,0.8892999862056559,0.805779338391288,0.5282523678797822,0.5941101474093221
2016,Çanakkale,0,Non-metropolitan,0.35174435708595336,0.4020322199133016,0.8225017409547672,0.7423298982202929,0.470809344675686,0.5578835121700003
2018,Çanakkale,0,Non-metropolitan,0.3661779951608563,0.39893065514039844,0.7580876878951562,0.7845250404787086,0.4685136808418664,0.5552470119033972
2020,Çanakkale,0,Non-metropolitan,0.3904436306875473,0.4035031131786183,0.7520594153082485,0.7367636484191703,0.4491545979717879,0.5463848811130745
2008,İzmir,2,Old-metropolitan,0.19528764243066052,0.2680409553036772,0.7052266744696115,0.8234744769021747,0.31919036708500864,0.46224402323822644
2010,İzmir,2,Old-metropolitan,0.21275300036658726,0.2634406469195708,0.6210941739968345,0.8093783422330032,0.3666391358402872,0.4546610598712566
2012,İzmir,2,Old-metropolitan,0.21650866017865242,0.26369561621820486,0.6227695755635388,0.8544023860234072,0.2736476222766447,0.44620477205208964
2014,İzmir,2,Old-metropolitan,0.22642360412342893,0.26009774282991505,0.6814565754708881,0.8644437099596942,0.26051703566987666,0.45858773361076055
2016,İzmir,2,Old-metropolitan,0.21767974139682272,0.2558922996627585,0.6420841517045233,0.8525733764345285,0.21272892651991307,0.43619169914370926
2018,İzmir,2,Old-metropolitan,0.21865743170498234,0.25375443527823915,0.5830838302821881,0.8655367337372195,0.20344160771047393,0.4248948077426206
2020,İzmir,2,Old-metropolitan,0.22024016580142,0.2509756664186251,0.5526999067464929,0.8384389819611239,0.1785382200721326,0.4081785881999589
2008,Aydın,1,New-metropolitan (2012),0.27061820862336017,0.3984987831524939,0.6775269658355818,0.7896738835413135,0.49674443718145667,0.5266124556668412
2010,Aydın,1,New-metropolitan (2012),0.28874442105711096,0.3950004930331862,0.780061604214142,0.7764096247644614,0.5513808759713575,0.5583194038080517
2012,Aydın,1,New-metropolitan (2012),0.32667443594652545,0.38843296144284933,0.7707526952698925,0.8007530807262002,0.44762087528141326,0.5468468097333762
2014,Aydın,1,New-metropolitan (2012),0.33479222389057484,0.3798755046196214,0.6199298783572645,0.8081031368813988,0.40020986609941184,0.5085821219696542
2016,Aydın,1,New-metropolitan (2012),0.33724773358915977,0.37659901551105124,0.5374683407348357,0.7793567676519293,0.3463395824783366,0.4754022879930625
2018,Aydın,1,New-metropolitan (2012),0.34361722212264656,0.36267848050351603,0.6717150542232935,0.8057488053876674,0.3550305636989815,0.507758025187221
2020,Aydın,1,New-metropolitan (2012),0.35849127786066665,0.357641098367488,0.6779790140095915,0.7964281837477121,0.3186746278840857,0.5018428403739088
2008,Denizli,1,New-metropolitan (2012),0.24442089146082593,0.3538157632270172,0.657201432220141,0.8387386413724822,0.42816464567966367,0.5044682747920259
2010,Denizli,1,New-metropolitan (2012),0.2688302126394517,0.3502248245922244,0.7572245481157984,0.8227364274250968,0.5022883486291276,0.5402608722803398
2012,Denizli,1,New-metropolitan (2012),0.2849151527358946,0.3453742554575504,0.7083674044272357,0.8149741184062127,0.4687809844451411,0.524482383094407
2014,Denizli,1,New-metropolitan (2012),0.2908935130746873,0.3307153796558572,0.7134918102360228,0.8056617160763662,0.4034194797175523,0.5088363797520972
2016,Denizli,1,New-metropolitan (2012),0.2909931317404752,0.3251692642189338,0.613350060259789,0.7771304052825455,0.34685106493974294,0.4706987852882973
2018,Denizli,1,New-metropolitan (2012),0.2974513233927172,0.32045686077495417,0.6249559130426854,0.8159521255026241,0.35264186217788307,0.48229161697817274
2020,Denizli,1,New-metropolitan (2012),0.32533355547918835,0.3210015283553518,0.7193322240747433,0.7871985531086167,0.3387575970117962,0.49832469160593923
2008,Muğla,1,New-metropolitan (2012),0.4210300548317958,0.443838489300947,0.49048673696764783,0.8803418317456014,0.44946142636787423,0.5370317078427733
2010,Muğla,1,New-metropolitan (2012),0.45822084398779367,0.43509750557305926,0.5200424498934828,0.8779815257247946,0.5199941621002117,0.5622672974558685
2012,Muğla,1,New-metropolitan (2012),0.4797335071305889,0.41425177196910523,0.5129362132709692,0.8821892808971213,0.4554160399226886,0.5489053626380946
