Datetime,Text,Hyperlink
2023-01-01,"15/7/2018 tarihli ve 30479 sayılı Resmî Gazete'de yayımlanan ""Resmî Gazete Hakkında Cumhurbaşkanlığı Kararnamesi (Kararname Numarası: 10)"" uyarınca bugün Resmî Gazete yayımlanmamaktadır.",https://www.resmigazete.gov.tr/eskiler/2023/01/20110101-1.htm
2023-01-02,–– Millî Eğitim Bakanlığı Denklik Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230102-1.htm
2023-01-02,–– Bilecik Şeyh Edebali Üniversitesi Ağız ve Diş Sağlığı Uygulama ve Araştırma Merkezi Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2023/01/20230102-2.htm
2023-01-02,–– Mal ve Hizmet Tedarikinde Geç Ödemelerde Uygulanacak Temerrüt Faiz Oranı ve Alacağın Tahsili Masrafları İçin Talep Edilebilecek Asgari Giderim Tutarı Hakkında Tebliğ,https://www.resmigazete.gov.tr/eskiler/2023/01/20230102-3.pdf
2023-01-02,"a - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102-3.htm
2023-01-02,b - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102-4.htm
2023-01-02,– T.C. Merkez Bankasınca Belirlenen Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230102-5.htm
2023-01-03,–– Gümrük Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230103-1.htm
2023-01-03,–– İstanbul Arel Üniversitesi Gençlik Çalışmaları Uygulama ve Araştırma Merkezi Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230103-2.htm
2023-01-03,–– Bazı Ödeme ve Elektronik Para Kuruluşlarının Faaliyet İzni Kapsamlarının Tespitine İlişkin Karar,https://www.resmigazete.gov.tr/eskiler/2023/01/20230103-3.pdf
2023-01-03,"–– Anayasa Mahkemesinin 28/9/2022 Tarihli ve E: 2021/90, K: 2022/108 Sayılı Kararı",https://www.resmigazete.gov.tr/eskiler/2023/01/20230103-4.pdf
2023-01-03,–– Anayasa Mahkemesinin 13/9/2022 Tarihli ve 2018/19950 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230103-5.pdf
2023-01-03,a - Yargı İlânları,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103-2.htm
2023-01-03,"b - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103-3.htm
2023-01-03,c - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103-4.htm
2023-01-03,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230103-5.htm
2023-01-04,–– Aydın Adnan Menderes Üniversitesi Psikolojik Danışma ve Rehberlik Uygulama ve Araştırma Merkezi Yönetmeliği,https://www.resmigazete.gov.tr/eskiler/2023/01/20230104-1.htm
2023-01-04,–– Harran Üniversitesi Önlisans ve Lisans Eğitim-Öğretim ve Sınav Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230104-2.htm
2023-01-04,–– Anayasa Mahkemesinin 10/11/2022 Tarihli ve 2019/1255 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230104-3.pdf
2023-01-04,–– Anayasa Mahkemesinin 10/11/2022 Tarihli ve 2019/13258 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230104-4.pdf
2023-01-04,"a - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104-3.htm
2023-01-04,b - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104-4.htm
2023-01-04,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230104-5.htm
2023-01-05,"–– Şırnak İli, Cizre İlçesine Bağlı Dirsekli, Kurtuluş, Kuştepe ve Çatalköy Köylerinin Tüzel Kişiliklerinin Kaldırılarak Bağlıları (Mezra) ile Birlikte Cizre Belediyesine Katılmaları Hakkında Karar (Karar Sayısı: 6630)",https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-8.pdf
2023-01-05,–– 5300 Sayılı Tarım Ürünleri Lisanslı Depoculuk Kanununun 24 üncü Maddesinin Üçüncü Fıkrasının (b) ve (c) Bentlerinde Belirtilen Lisanlı Depoculuk Tazmin Fonu Gelir Oranlarının Türkiye Ürün İhtisas Borsası Anonim Şirketi Nezdinde Oluşturulan Teverruk Piyasasında Gerçekleştirilecek İşlemlerde Sıfıra İndirilmesi Hakkında Karar (Karar Sayısı: 6631),https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-9.pdf
2023-01-05,"–– İstanbul İli, Beykoz İlçesi Sınırları İçerisinde Bulunan Beykoz Kuzey Kesimi Karadeniz Kuşağı Doğal Sit Alanının Koruma Statüsünün Yeniden Değerlendirilmesi Sonucunda, Bazı Alanların Kesin Korunacak Hassas Alan Olarak Tescil ve İlan Edilmesi Hakkında Karar (Karar Sayısı: 6632)",https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-10.pdf
2023-01-05,–– Karaman ve Mersin İllerinde Tesis Edilecek Akyel-1 RES Elektrik Üretim Tesisi İçin Gerekli Olan Bazı Taşınmazların Enerji Piyasası Düzenleme Kurumu Tarafından Acele Kamulaştırılması Hakkında Karar (Karar Sayısı: 6633),https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-11.pdf
2023-01-05,–– Meteoroloji Genel Müdürlüğü Teftiş Kurulu Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-1.htm
2023-01-05,–– Türkiye Taşkömürü Kurumu Genel Müdürlüğüne Ait Taşınmazların İdaresine İlişkin Yönetmelikte Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-2.htm
2023-01-05,"–– Anayasa Mahkemesinin 13/12/2022 Tarihli ve E: 2021/35, K: 2022/161 Sayılı Kararı",https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-7.pdf
2023-01-05,–– Anayasa Mahkemesinin 5/10/2022 Tarihli ve 2019/35232 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-3.pdf
2023-01-05,–– Anayasa Mahkemesinin 19/10/2022 Tarihli ve 2019/12075 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-4.pdf
2023-01-05,–– Anayasa Mahkemesinin 19/10/2022 Tarihli ve 2019/12210 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-5.pdf
2023-01-05,–– Anayasa Mahkemesinin 2/11/2022 Tarihli ve 2018/36650 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230105-6.pdf
2023-01-05,a - Yargı İlânları,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105-2.htm
2023-01-05,"b - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105-3.htm
2023-01-05,c - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105-4.htm
2023-01-05,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230105-5.htm
2023-01-05,"05/01/2023 tarihli ve 32064 mükerrer sayılı Resmî Gazete’de, Malvarlığının Dondurulması Kararı yayımlanmıştır.",http://www.resmigazete.gov.tr/eskiler/2023/01/20230105M1.htm
2023-01-06,1351 Altı Yaşındaki Bir Kız Çocuğunun Evlilik Adı Altında Cinsel İstismara Maruz Bırakılması Olayının Araştırılarak Benzer Olayların Yaşanmaması ve Her Türlü Çocuk İstismarının Önlenmesi İçin Alınması Gereken Tedbirlerin Belirlenmesi Amacıyla Bir Meclis Araştırması Komisyonu Kurulmasına Dair Karar,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-12.pdf
2023-01-06,–– Türkiye Cumhuriyeti Hükümeti ile Kuzey Kıbrıs Türk Cumhuriyeti Hükümeti Arasında Geçitkale Hava Meydanı Enerji Nakil Hatlarının Deplase Edilmesine İlişkin Protokolün Onaylanması Hakkında Karar (Karar Sayısı: 6647),https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-1.pdf
2023-01-06,–– Türkiye Cumhuriyeti Hükümeti ile Nijerya Federal Cumhuriyeti Hükümeti Arasında Madencilik Alanında İşbirliğine İlişkin Mutabakat Zaptının Onaylanması Hakkında Karar (Karar Sayısı: 6648),https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-2.pdf
2023-01-06,"–– 4/7/1956 Tarihli ve 6772 Sayılı Kanun Kapsamına Giren Kurumlarda Çalışan İşçilere, 2023 Yılında Verilecek İlave Tediyenin Sürelerinin Belirlenmesi Hakkında Karar (Karar Sayısı: 6649)",https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-13.pdf
2023-01-06,–– 6306 Sayılı Kanunun Uygulama Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-3.htm
2023-01-06,–– Millî Eğitim Bakanlığı Özel Öğretim Kurumları Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-4.htm
2023-01-06,–– Türkiye Radyo-Televizyon Kurumu Elektronik Bandrol Uygulaması Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-5.htm
2023-01-06,–– Kamu Sosyal Tesislerine İlişkin Tebliğ (No: 2023-1),https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-6.htm
2023-01-06,–– İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (No: 2023/1),https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-7.htm
2023-01-06,–– Enerji Piyasası Düzenleme Kurulunun 05/01/2023 Tarihli ve 11540 Sayılı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-8.pdf
2023-01-06,–– Anayasa Mahkemesinin 27/10/2022 Tarihli ve 2018/9214 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-9.pdf
2023-01-06,–– Anayasa Mahkemesinin 27/10/2022 Tarihli ve 2018/25252 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-10.pdf
2023-01-06,–– Anayasa Mahkemesinin 18/10/2022 Tarihli ve 2019/20791 Başvuru Numaralı Kararı,https://www.resmigazete.gov.tr/eskiler/2023/01/20230106-11.pdf
2023-01-06,a - Yargı İlânları,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106-2.htm
2023-01-06,"b - Artırma, Eksiltme ve İhale İlânları",http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106-3.htm
2023-01-06,c - Çeşitli İlânlar,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106-4.htm
2023-01-06,– T.C. Merkez Bankasınca Belirlenen Döviz Kurları ve Devlet İç Borçlanma Senetlerinin Günlük Değerleri,http://www.resmigazete.gov.tr/main.aspx?home=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106.htm&main=http://www.resmigazete.gov.tr/ilanlar/eskiilanlar/2023/01/20230106-5.htm
2023-01-07,–– Cumhurbaşkanlığı Tarafından Yapılan Atama Hakkında Karar (Karar: 2023/2),https://www.resmigazete.gov.tr/eskiler/2023/01/20230107-12.pdf
2023-01-07,–– Ayakta Teşhis ve Tedavi Yapılan Özel Sağlık Kuruluşları Hakkında Yönetmelikte Değişiklik Yapılmasına Dair Yönetmelik,https://www.resmigazete.gov.tr/eskiler/2023/01/20230107-1.htm
